year,age,men,women,sum
1989,0,370680,354974,725654
1989,1,379109,362729,741838
1989,2,397772,381864,779636
1989,3,387079,374154,761233
1989,4,399224,383125,782349
1989,5,403120,390385,793505
1989,6,374190,361074,735264
1989,7,361379,349656,711035
1989,8,374245,360196,734441
1989,9,366513,353263,719776
1989,10,365252,353444,718696
1989,11,358882,348483,707365
1989,12,374373,363147,737520
1989,13,369002,359436,728438
1989,14,367348,357371,724719
1989,15,372240,354567,726807
1989,16,386514,368871,755385
1989,17,377658,355397,733055
1989,18,350223,343807,694030
1989,19,321252,318730,639982
1989,20,328366,327607,655973
1989,21,331818,325406,657224
1989,22,340749,335322,676071
1989,23,332679,329902,662581
1989,24,350974,349593,700567
1989,25,373758,375162,748920
1989,26,386940,390165,777105
1989,27,395429,397253,792682
1989,28,412097,417496,829593
1989,29,401412,407403,808815
1989,30,403062,410270,813332
1989,31,391578,398415,789993
1989,32,383800,394610,778410
1989,33,367004,378197,745201
1989,34,378785,393285,772070
1989,35,353831,368733,722564
1989,36,367021,383364,750385
1989,37,364720,378440,743160
1989,38,362303,381820,744123
1989,39,378533,403483,782016
1989,40,331739,353979,685718
1989,41,287001,308456,595457
1989,42,284709,309668,594377
1989,43,181163,202009,383172
1989,44,210991,237363,448354
1989,45,198678,222868,421546
1989,46,246684,281601,528285
1989,47,337941,381218,719159
1989,48,342251,390299,732550
1989,49,378488,440594,819082
1989,50,405192,475089,880281
1989,51,428888,490721,919609
1989,52,352047,405164,757211
1989,53,302219,341309,643528
1989,54,237263,266450,503713
1989,55,201486,236385,437871
1989,56,248080,307450,555530
1989,57,259637,316730,576367
1989,58,312694,398160,710854
1989,59,294377,380545,674922
1989,60,309841,415195,725036
1989,61,289783,392852,682635
1989,62,252197,396793,648990
1989,63,222412,379047,601459
1989,64,200714,374278,574992
1989,65,176425,337763,514188
1989,66,144950,307433,452383
1989,67,131395,265449,396844
1989,68,108535,226483,335018
1989,69,102297,219660,321957
1989,70,104614,231430,336044
1989,71,64816,145290,210106
1989,72,68603,163322,231925
1989,73,81736,193466,275202
1989,74,100189,260239,360428
1989,75,91415,222941,314356
1989,76,93374,252503,345877
1989,77,76578,190244,266822
1989,78,73652,208216,281868
1989,79,59937,156056,215993
1990,0,352522,335605,688127
1990,1,380267,362021,742288
1990,2,379354,362989,742343
1990,3,398030,382896,780926
1990,4,386286,374139,760425
1990,5,397974,382253,780227
1990,6,404597,391306,795903
1990,7,374984,361085,736069
1990,8,362209,350422,712631
1990,9,374491,360813,735304
1990,10,366802,353209,720011
1990,11,364897,353218,718115
1990,12,358238,348047,706285
1990,13,374567,363691,738258
1990,14,368090,359195,727285
1990,15,370365,359739,730104
1990,16,373279,356708,729987
1990,17,388531,372229,760760
1990,18,370674,353298,723972
1990,19,346604,342551,689155
1990,20,324792,319683,644475
1990,21,327289,328804,656093
1990,22,335241,326939,662180
1990,23,339661,335874,675535
1990,24,331750,331207,662957
1990,25,351303,351115,702418
1990,26,373741,377202,750943
1990,27,386329,391416,777745
1990,28,394856,399436,794292
1990,29,411831,415661,827492
1990,30,402297,411428,813725
1990,31,396902,405249,802151
1990,32,390979,399770,790749
1990,33,381487,394305,775792
1990,34,364733,377968,742701
1990,35,376286,391994,768280
1990,36,349901,366551,716452
1990,37,368623,386077,754700
1990,38,363619,379263,742882
1990,39,361510,382355,743865
1990,40,380440,406468,786908
1990,41,320468,344694,665162
1990,42,287632,311224,598856
1990,43,274546,302055,576601
1990,44,179601,201856,381457
1990,45,214931,241642,456573
1990,46,194441,219606,414047
1990,47,254314,289885,544199
1990,48,329383,375044,704427
